orderline_id,item_id,item_name,PCS
1,1,Table Cloth 62x114 White,2
2,6,Sauce - Caesar Dressing,3
3,3,"Turkey - Breast, Double",5
4,7,Cheese - Cream Cheese,6
5,23,Icecream Bar - Del Monte,2
6,34,Extract - Almond,1
7,26,Snapple - Mango Maddness,1
8,8,Straw - Regular,3
9,19,Stainless Steel Cleaner Vision,4
10,5,Apple - Northern Spy,1
11,2,Wine - Two Oceans Cabernet,2
12,15,Southern Comfort,3
13,16,"Pork - Back, Short Cut, Boneless",1
14,4,"Cheese - Woolwich Goat, Log",4
15,17,"Beans - Navy, Dry",3
16,24,Lettuce - Iceberg,6
17,22,Pork - Back Ribs,1
18,35,Cheese - Stilton,2
19,18,"Salmon - Atlantic, Skin On",3
20,10,Coffee - Decaffeinato Coffee,1
